epoch 0: loss_train: 0.20462647080421448, loss_test: 0.20283730328083038
epoch 1: loss_train: 0.1906113624572754, loss_test: 0.1624401956796646
epoch 2: loss_train: 0.1329674869775772, loss_test: 0.10908974707126617
epoch 3: loss_train: 0.09290457516908646, loss_test: 0.0799470916390419
epoch 4: loss_train: 0.07154394686222076, loss_test: 0.06637737154960632
epoch 5: loss_train: 0.06072128936648369, loss_test: 0.05788375064730644
epoch 6: loss_train: 0.05427733063697815, loss_test: 0.053641654551029205
epoch 7: loss_train: 0.05050642043352127, loss_test: 0.050698284059762955
epoch 8: loss_train: 0.04798512905836105, loss_test: 0.04875628650188446
epoch 9: loss_train: 0.046113982796669006, loss_test: 0.04707441106438637
epoch 10: loss_train: 0.04465971887111664, loss_test: 0.04562697932124138
epoch 11: loss_train: 0.043485525995492935, loss_test: 0.04478653147816658
epoch 12: loss_train: 0.042510755360126495, loss_test: 0.04400262236595154
epoch 13: loss_train: 0.041687823832035065, loss_test: 0.04329560697078705
epoch 14: loss_train: 0.04098070040345192, loss_test: 0.04290802404284477
epoch 15: loss_train: 0.04035621136426926, loss_test: 0.042351264506578445
epoch 16: loss_train: 0.03979840874671936, loss_test: 0.04194622486829758
epoch 17: loss_train: 0.039299529045820236, loss_test: 0.041476182639598846
epoch 18: loss_train: 0.03883726894855499, loss_test: 0.04107965901494026
epoch 19: loss_train: 0.038424406200647354, loss_test: 0.04070444405078888
